,bookId,Genre,NumberOfPeople
508,355,philosophy,5
509,355,novel,24
510,355,fiction,288
511,355,fantasy,255
512,355,classics,15
513,355,adventure,17
514,355,comedy,91
515,355,science,14
516,355,science-fiction,1262
517,357,adventure,21
518,357,history,50
519,357,horror,45
520,357,literature,24
521,357,mystery,598
522,357,classics,33
523,357,novel,126
524,357,science,43
525,357,science-fiction,2847
526,357,fantasy,1308
527,357,fiction,1352
529,357,contemporary,23
530,357,comedy,1854
531,357,adult,32
532,367,other,0
533,394,politics,23
534,394,biography,58
535,394,non-fiction,167
536,394,history,351
537,394,essays,6
538,394,culture,3
540,394,school,5
541,399,classics,80
542,399,history,110
544,399,fiction,1303
545,399,mystery,12
546,399,contemporary,154
547,399,novel,195
548,399,literature,287
549,400,politics,42
550,400,literature,118
551,400,biography,6
552,400,classics,18
553,400,contemporary,58
554,400,fiction,591
556,400,mystery,33
557,400,non-fiction,11
558,400,novel,119
559,400,school,15
560,400,history,261
561,403,novel,39
562,403,fiction,228
563,403,romance,5
565,403,school,3
566,403,literature,35
567,403,non-fiction,2
568,403,classics,14
569,403,contemporary,17
570,403,mystery,4
571,407,classics,4
572,407,romance,2
573,407,school,4
575,407,fiction,145
576,407,novel,15
577,407,contemporary,12
578,407,mystery,4
579,407,literature,29
580,408,fiction,191
582,408,novel,42
583,408,mystery,20
584,408,literature,41
585,408,contemporary,15
586,410,other,0
587,411,other,0
588,412,history,475
589,412,science-fiction,610
590,412,classics,648
591,412,contemporary,130
592,412,fantasy,26
593,412,science,25
594,412,novel,314
595,412,literature,466
597,412,fiction,2160
598,413,history,312
600,413,biography,6
601,413,classics,27
602,413,adventure,10
603,413,fantasy,11
604,413,contemporary,53
605,413,fiction,562
606,413,novel,88
607,413,literature,120
608,414,politics,16
609,414,novel,64
610,414,literature,105
611,414,history,8
612,414,fiction,467
613,414,contemporary,36
614,414,classics,21
616,414,comedy,31
618,416,contemporary,16
619,416,essays,3
620,416,literature,35
621,416,short-stories,183
622,416,novel,8
623,416,fiction,167
624,416,classics,5
625,418,contemporary,8
627,418,adult,3
628,418,biography,4
629,418,classics,25
630,418,comedy,12
631,418,school,2
632,418,fiction,175
633,418,history,3
634,418,literature,27
635,418,novel,35
636,421,politics,15
637,421,fiction,43
638,421,literature,20
639,421,history,126
640,421,short-stories,31
641,421,culture,28
642,421,essays,780
643,421,contemporary,11
644,421,classics,64
645,421,non-fiction,1104
647,421,biography,250
648,422,literature,33
649,422,classics,4
650,422,contemporary,16
652,422,essays,5
653,422,politics,11
654,422,novel,31
655,422,non-fiction,12
656,422,fiction,192
657,422,adult,6
658,424,biography,448
659,424,philosophy,17
660,424,culture,36
661,424,essays,1414
662,424,sociology,18
663,424,short-stories,147
664,424,fiction,105
665,424,school,24
666,424,politics,54
667,424,adult,17
668,424,non-fiction,2431
669,424,classics,226
671,424,literature,45
672,424,history,219
673,425,novel,18
674,425,politics,24
675,425,non-fiction,10
676,425,literature,20
677,425,classics,5
678,425,history,19
679,425,fiction,136
680,425,essays,3
681,425,contemporary,12
682,425,adult,8
684,432,literature,97
685,432,mystery,286
686,432,novel,91
687,432,philosophy,9
688,432,school,72
689,432,contemporary,63
690,432,classics,48
692,432,adult,17
693,432,fiction,366
694,434,classics,7
696,434,short-stories,9
697,434,school,3
698,434,novel,35
699,434,mystery,79
700,434,fiction,126
701,434,contemporary,20
702,434,literature,32
703,447,tragedy,11
705,447,school,10
706,447,novel,115
707,447,mystery,27
708,447,contemporary,100
709,447,fiction,437
